activity_id,activity_name,wbs_id,wbs_path,level,discipline,area,equipment_tag,line_number,start_km,end_km,planned_start,planned_finish,baseline_duration_days,predecessor_id,successor_id,planned_quantity,unit,is_critical
ACT-1010,Mainline ROW Clearing & Grading Sec 1 - Km 0.0 to 2.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,,PL-16-01,0.0,2.0,2026-09-01,2026-09-05,4,,ACT-1011,2000.0,Meters,True
ACT-1011,Mainline Trench Excavation Sec 1 - Km 0.0 to 2.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,EXC-01,PL-16-01,0.0,2.0,2026-09-03,2026-09-07,4,ACT-1010,ACT-1012,2000.0,Meters,True
ACT-1012,Mainline Pipe Stringing & Welding Sec 1 - Km 0.0 to 2.0,WBS-310,NBG.PL.SEC1,5,PIPING,Section 1,WELD-CREW-A,PL-16-01,0.0,2.0,2026-09-05,2026-09-09,4,ACT-1011,ACT-1013,160.0,Joints,True
ACT-1013,Mainline Lowering & Backfilling Sec 1 - Km 0.0 to 2.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,SIDEBOOM-01,PL-16-01,0.0,2.0,2026-09-07,2026-09-11,4,ACT-1012,,2000.0,Meters,True
ACT-1014,Mainline ROW Clearing & Grading Sec 1 - Km 2.0 to 4.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,,PL-16-01,2.0,4.0,2026-09-03,2026-09-07,4,,ACT-1015,2000.0,Meters,True
ACT-1015,Mainline Trench Excavation Sec 1 - Km 2.0 to 4.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,EXC-01,PL-16-01,2.0,4.0,2026-09-05,2026-09-09,4,ACT-1014,ACT-1016,2000.0,Meters,True
ACT-1016,Mainline Pipe Stringing & Welding Sec 1 - Km 2.0 to 4.0,WBS-310,NBG.PL.SEC1,5,PIPING,Section 1,WELD-CREW-A,PL-16-01,2.0,4.0,2026-09-07,2026-09-11,4,ACT-1015,ACT-1017,160.0,Joints,True
ACT-1017,Mainline Lowering & Backfilling Sec 1 - Km 2.0 to 4.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,SIDEBOOM-01,PL-16-01,2.0,4.0,2026-09-09,2026-09-13,4,ACT-1016,,2000.0,Meters,True
ACT-1018,Mainline ROW Clearing & Grading Sec 1 - Km 4.0 to 6.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,,PL-16-01,4.0,6.0,2026-09-05,2026-09-09,4,,ACT-1019,2000.0,Meters,True
ACT-1019,Mainline Trench Excavation Sec 1 - Km 4.0 to 6.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,EXC-01,PL-16-01,4.0,6.0,2026-09-07,2026-09-11,4,ACT-1018,ACT-1020,2000.0,Meters,True
ACT-1020,Mainline Pipe Stringing & Welding Sec 1 - Km 4.0 to 6.0,WBS-310,NBG.PL.SEC1,5,PIPING,Section 1,WELD-CREW-A,PL-16-01,4.0,6.0,2026-09-09,2026-09-13,4,ACT-1019,ACT-1021,160.0,Joints,True
ACT-1021,Mainline Lowering & Backfilling Sec 1 - Km 4.0 to 6.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,SIDEBOOM-01,PL-16-01,4.0,6.0,2026-09-11,2026-09-15,4,ACT-1020,,2000.0,Meters,True
ACT-1022,Mainline ROW Clearing & Grading Sec 1 - Km 6.0 to 8.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,,PL-16-01,6.0,8.0,2026-09-07,2026-09-11,4,,ACT-1023,2000.0,Meters,True
ACT-1023,Mainline Trench Excavation Sec 1 - Km 6.0 to 8.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,EXC-01,PL-16-01,6.0,8.0,2026-09-09,2026-09-13,4,ACT-1022,ACT-1024,2000.0,Meters,True
ACT-1024,Mainline Pipe Stringing & Welding Sec 1 - Km 6.0 to 8.0,WBS-310,NBG.PL.SEC1,5,PIPING,Section 1,WELD-CREW-A,PL-16-01,6.0,8.0,2026-09-11,2026-09-15,4,ACT-1023,ACT-1025,160.0,Joints,True
ACT-1025,Mainline Lowering & Backfilling Sec 1 - Km 6.0 to 8.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,SIDEBOOM-01,PL-16-01,6.0,8.0,2026-09-13,2026-09-17,4,ACT-1024,,2000.0,Meters,True
ACT-1026,Mainline ROW Clearing & Grading Sec 1 - Km 8.0 to 10.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,,PL-16-01,8.0,10.0,2026-09-09,2026-09-13,4,,ACT-1027,2000.0,Meters,True
ACT-1027,Mainline Trench Excavation Sec 1 - Km 8.0 to 10.0,WBS-310,NBG.PL.SEC1,5,CIVIL,Section 1,EXC-01,PL-16-01,8.0,10.0,2026-09-11,2026-09-15,4,ACT-1026,ACT-1028,2000.0,Meters,True
ACT-1028,Mainline Pipe Stringing & Welding Sec 1 - Km 8.0 to 10.0,WBS-310,NBG.PL.SEC1,5,PIPING,Section 1,WELD-CREW-A,PL-16-01,8.0,10.0,2026-09-13,2026-09-17,4,ACT-1027,ACT-1029,160.0,Joints,True
